Benchmark,dotnet_core,mono-net5-jit,mono-net5-llvm-jit
System.Memory.Span<Char>.Clear(Size: 512),1.00,1.02,0.99,
System.Memory.Span<Char>.Fill(Size: 512),1.00,0.99,1.03,
System.Memory.Span<Char>.Reverse(Size: 512),1.00,0.99,0.99,
System.Memory.Span<Char>.ToArray(Size: 512),1.00,0.96,0.98,
System.Memory.Span<Char>.SequenceEqual(Size: 512),1.00,0.99,1.01,
System.Memory.Span<Char>.SequenceCompareTo(Size: 512),1.00,0.94,0.99,
System.Memory.Span<Char>.StartsWith(Size: 512),1.00,0.96,1.04,
System.Memory.Span<Char>.EndsWith(Size: 512),1.00,1.00,1.03,
System.Memory.Span<Char>.IndexOfValue(Size: 512),1.00,0.99,0.99,
System.Memory.Span<Char>.IndexOfAnyTwoValues(Size: 512),1.00,0.97,0.93,
System.Memory.Span<Char>.IndexOfAnyThreeValues(Size: 512),1.00,1.01,0.93,
System.Memory.Span<Char>.IndexOfAnyFourValues(Size: 512),1.00,0.97,0.91,
System.Memory.Span<Char>.LastIndexOfValue(Size: 512),1.00,0.82,0.96,
System.Memory.Span<Char>.LastIndexOfAnyValues(Size: 512),1.00,0.95,0.95,
System.Memory.Span<Char>.BinarySearch(Size: 512),1.00,0.92,0.96,
System.Memory.Span<Char>.GetPinnableReference(Size: 512),SMALL,SMALL,SMALL,
System.Memory.ReadOnlySpan.StringAsSpan,SMALL,SMALL,SMALL,
System.Memory.ReadOnlySpan.GetPinnableReference,SMALL,SMALL,SMALL,
System.Memory.ReadOnlySpan.Trim(input: ""),1.00,1.01,1.05,
System.Memory.ReadOnlySpan.Trim(input: " abcdefg "),1.00,1.00,1.01,
System.Memory.ReadOnlySpan.IndexOfString(input: "AAAAA5AAAA"; value: "5"; comparisonType: InvariantC...,1.00,1.05,1.00,
System.Memory.ReadOnlySpan.IndexOfString(input: "AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA...,1.00,1.05,0.99,
System.Memory.ReadOnlySpan.IndexOfString(input: "AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA...,1.00,1.03,0.99,
System.Memory.ReadOnlySpan.IndexOfString(input: "AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA...,1.00,1.03,0.99,
System.Memory.ReadOnlySpan.IndexOfString(input: "ABCDE"; value: "c"; comparisonType: InvariantCultur...,1.00,1.03,0.98,
System.Memory.ReadOnlySpan.IndexOfString(input: "Hello Worldbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbareallyr...,1.00,1.01,0.97,
System.Memory.ReadOnlySpan.IndexOfString(input: "Hello Worldbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbareally...,1.00,1.05,1.05,
System.Memory.ReadOnlySpan.IndexOfString(input: "Hello Worldbbbbbbbbbbbbbbcbbbbbbbbbbbbbbbbbbba!"; v...,1.00,0.99,1.06,
System.Memory.ReadOnlySpan.IndexOfString(input: "More Test's"; value: "Tests"; comparisonType: Ordin...,1.00,1.04,1.02,
System.Memory.ReadOnlySpan.IndexOfString(input: "StrIng"; value: "string"; comparisonType: OrdinalIg...,1.00,1.05,1.00,
System.Memory.ReadOnlySpan.Trim(input: "abcdefg"),1.00,1.01,1.02,
System.Memory.ReadOnlySpan.IndexOfString(input: "foobardzsdzs"; value: "rddzs"; comparisonType: Inva...,1.00,0.95,0.96,
System.Memory.ReadOnlySpan.IndexOfString(input: "string1"; value: "string2"; comparisonType: Invaria...,1.00,1.00,0.96,
System.Memory.ReadOnlySpan.IndexOfString(input: "だ"; value: "た"; comparisonType: InvariantCulture),1.00,0.95,0.98,
System.Memory.ReadOnlySpan.IndexOfString(input: "だだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだす...,1.00,1.01,0.96,
System.Memory.ReadOnlySpan.IndexOfString(input: "だだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだ...,1.00,1.06,0.99,
System.Globalization.Tests.StringSearch.IsPrefix_FirstHalf(Options: (; IgnoreCase; False)),1.00,0.41,0.95,
System.Globalization.Tests.StringSearch.IsPrefix_DifferentFirstChar(Options: (; IgnoreCase; False)),1.00,1.00,1.03,
System.Globalization.Tests.StringSearch.IsSuffix_SecondHalf(Options: (; IgnoreCase; False)),1.00,0.62,1.03,
System.Globalization.Tests.StringSearch.IsSuffix_DifferentLastChar(Options: (; IgnoreCase; False)),1.00,12.18,1.05,
System.Globalization.Tests.StringSearch.IndexOf_Word_NotFound(Options: (; IgnoreCase; False)),1.00,3.95,1.00,
System.Globalization.Tests.StringSearch.LastIndexOf_Word_NotFound(Options: (; IgnoreCase; False)),1.00,3.71,1.07,
System.Globalization.Tests.StringSearch.IsPrefix_FirstHalf(Options: (; IgnoreCase; True)),1.00,6.62,1.02,
System.Globalization.Tests.StringSearch.IsPrefix_DifferentFirstChar(Options: (; IgnoreCase; True)),1.00,85.74,0.97,
System.Globalization.Tests.StringSearch.IsSuffix_SecondHalf(Options: (; IgnoreCase; True)),1.00,0.98,1.02,
System.Globalization.Tests.StringSearch.IsSuffix_DifferentLastChar(Options: (; IgnoreCase; True)),1.00,1.00,1.05,
System.Globalization.Tests.StringSearch.IndexOf_Word_NotFound(Options: (; IgnoreCase; True)),1.00,1.03,1.02,
System.Globalization.Tests.StringSearch.LastIndexOf_Word_NotFound(Options: (; IgnoreCase; True)),1.00,1.00,1.01,
System.Globalization.Tests.StringSearch.IsPrefix_FirstHalf(Options: (; None; False)),1.00,0.12,1.01,
System.Globalization.Tests.StringSearch.IsPrefix_DifferentFirstChar(Options: (; None; False)),1.00,0.96,1.01,
System.Globalization.Tests.StringSearch.IsSuffix_SecondHalf(Options: (; None; False)),1.00,0.13,0.98,
System.Globalization.Tests.StringSearch.IsSuffix_DifferentLastChar(Options: (; None; False)),1.00,1.69,0.97,
System.Globalization.Tests.StringSearch.IndexOf_Word_NotFound(Options: (; None; False)),1.00,0.16,0.98,
System.Globalization.Tests.StringSearch.LastIndexOf_Word_NotFound(Options: (; None; False)),1.00,0.70,0.99,
System.Globalization.Tests.StringSearch.IsPrefix_FirstHalf(Options: (; None; True)),1.00,6.57,0.95,
System.Globalization.Tests.StringSearch.IsPrefix_DifferentFirstChar(Options: (; None; True)),1.00,94.17,1.03,
System.Globalization.Tests.StringSearch.IsSuffix_SecondHalf(Options: (; None; True)),1.00,0.99,1.01,
